element,atomic_mass,sigma_a,sigma_s
H,1.00794,0.3326,82.02
D,2.01410178,0.000519,7.64
He,4.002602,0.00747,1.34
Li,6.941,70.5,1.37
Be,9.012182,0.0076,7.63
B,10.811,767.0,5.24
C,12.011,0.0035,5.551
N,14.00674,1.9,11.51
O,15.9994,0.00019,4.232
F,18.9984032,0.0096,4.018
Ne,20.1797,0.039,2.628
Na,22.989768,0.53,3.28
Mg,24.305,0.063,3.71
Al,26.981539,0.231,1.503
Si,28.0855,0.171,2.167
P,30.973762,0.172,3.312
S,32.066,0.53,1.026
Cl,35.4527,33.5,16.8
Ar,39.948,0.675,0.683
K,39.0983,2.1,1.96
Ca,40.078,0.43,2.83
Sc,44.95591,27.5,23.5
Ti,47.88,6.09,4.35
V,50.9415,5.08,5.1
Cr,51.9961,3.05,3.49
Mn,54.93805,13.3,2.15
Fe,55.847,2.56,11.62
Co,58.9332,37.18,5.6
Ni,58.69,4.49,18.5
Cu,63.546,3.78,8.03
Zn,65.39,1.11,4.131
Ga,69.723,2.75,6.83
Ge,72.61,2.2,8.6
As,74.92159,4.5,5.5
Se,78.96,11.7,8.3
Br,79.904,6.9,5.9
Kr,83.8,25.0,7.68
Rb,85.4678,0.38,6.8
Sr,87.62,1.28,6.25
Y,88.90585,1.28,7.7
Zr,91.224,0.185,6.46
Nb,92.90638,1.15,6.255
Mo,95.94,2.48,5.71
Tc,98.0,20.0,6.3
Ru,101.07,2.56,6.6
Rh,102.9055,144.8,4.6
Pd,106.42,6.9,4.48
Ag,107.8682,63.3,4.99
Cd,112.411,2520.0,6.5
In,114.82,193.8,2.62
Sn,118.71,0.626,4.892
Sb,121.75,4.91,3.9
Te,127.6,4.7,4.32
I,126.9044,6.15,3.81
Xe,131.29,23.9,
Cs,132.90543,29.0,3.9
Ba,137.327,1.1,3.38
La,138.9055,8.97,9.66
Ce,140.115,0.63,2.94
Pr,140.90765,11.5,2.66
Nd,144.24,51.0,16.6
Pm,145.0,168.4,21.3
Sm,150.36,5922.0,39.0
Eu,151.965,4530.0,9.2
Gd,157.25,49700.0,180.0
Tb,158.92534,23.4,6.84
Dy,162.5,994.0,90.3
Ho,164.93032,64.7,8.42
Er,167.26,159.0,8.7
Tm,168.93421,100.0,6.38
Yb,173.04,34.8,23.4
Lu,174.967,74.0,7.2
Hf,178.49,104.1,10.2
Ta,180.9479,20.6,6.01
W,183.85,18.3,4.6
Re,186.207,89.7,11.5
Os,190.2,16.0,14.7
Ir,192.22,425.0,14.0
Pt,195.08,10.3,11.71
Au,196.96654,98.65,7.75
Hg,200.59,372.3,26.8
Tl,204.3833,3.43,9.89
Pb,207.2,0.171,11.118
Bi,208.98037,0.0338,9.156
Po,,,
At,,,
Rn,,,12.6
Fr,,,
Ra,,12.8,13.0
Ac,,,
Th,232.0381,7.37,13.36
Pa,,200.6,10.5
U,238.0289,7.57,8.9
